,realtime_start,realtime_end,date,value
221,2024-12-12,2024-12-12,1966-06-01,3.8
222,2024-12-12,2024-12-12,1966-07-01,3.8
223,2024-12-12,2024-12-12,1966-08-01,3.8
224,2024-12-12,2024-12-12,1966-09-01,3.7
225,2024-12-12,2024-12-12,1966-10-01,3.7
226,2024-12-12,2024-12-12,1966-11-01,3.6
227,2024-12-12,2024-12-12,1966-12-01,3.8
228,2024-12-12,2024-12-12,1967-01-01,3.9
229,2024-12-12,2024-12-12,1967-02-01,3.8
230,2024-12-12,2024-12-12,1967-03-01,3.8
231,2024-12-12,2024-12-12,1967-04-01,3.8
232,2024-12-12,2024-12-12,1967-05-01,3.8
233,2024-12-12,2024-12-12,1967-06-01,3.9
234,2024-12-12,2024-12-12,1967-07-01,3.8
235,2024-12-12,2024-12-12,1967-08-01,3.8
236,2024-12-12,2024-12-12,1967-09-01,3.8
237,2024-12-12,2024-12-12,1967-10-01,4.0
238,2024-12-12,2024-12-12,1967-11-01,3.9
239,2024-12-12,2024-12-12,1967-12-01,3.8
240,2024-12-12,2024-12-12,1968-01-01,3.7
241,2024-12-12,2024-12-12,1968-02-01,3.8
242,2024-12-12,2024-12-12,1968-03-01,3.7
243,2024-12-12,2024-12-12,1968-04-01,3.5
244,2024-12-12,2024-12-12,1968-05-01,3.5
245,2024-12-12,2024-12-12,1968-06-01,3.7
246,2024-12-12,2024-12-12,1968-07-01,3.7
247,2024-12-12,2024-12-12,1968-08-01,3.5
248,2024-12-12,2024-12-12,1968-09-01,3.4
249,2024-12-12,2024-12-12,1968-10-01,3.4
250,2024-12-12,2024-12-12,1968-11-01,3.4
251,2024-12-12,2024-12-12,1968-12-01,3.4
252,2024-12-12,2024-12-12,1969-01-01,3.4
253,2024-12-12,2024-12-12,1969-02-01,3.4
254,2024-12-12,2024-12-12,1969-03-01,3.4
255,2024-12-12,2024-12-12,1969-04-01,3.4
256,2024-12-12,2024-12-12,1969-05-01,3.4
257,2024-12-12,2024-12-12,1969-06-01,3.5
258,2024-12-12,2024-12-12,1969-07-01,3.5
259,2024-12-12,2024-12-12,1969-08-01,3.5
260,2024-12-12,2024-12-12,1969-09-01,3.7
261,2024-12-12,2024-12-12,1969-10-01,3.7
262,2024-12-12,2024-12-12,1969-11-01,3.5
263,2024-12-12,2024-12-12,1969-12-01,3.5
264,2024-12-12,2024-12-12,1970-01-01,3.9
265,2024-12-12,2024-12-12,1970-02-01,4.2
266,2024-12-12,2024-12-12,1970-03-01,4.4
267,2024-12-12,2024-12-12,1970-04-01,4.6
268,2024-12-12,2024-12-12,1970-05-01,4.8
269,2024-12-12,2024-12-12,1970-06-01,4.9
270,2024-12-12,2024-12-12,1970-07-01,5.0
271,2024-12-12,2024-12-12,1970-08-01,5.1
272,2024-12-12,2024-12-12,1970-09-01,5.4
273,2024-12-12,2024-12-12,1970-10-01,5.5
274,2024-12-12,2024-12-12,1970-11-01,5.9
275,2024-12-12,2024-12-12,1970-12-01,6.1
276,2024-12-12,2024-12-12,1971-01-01,5.9
277,2024-12-12,2024-12-12,1971-02-01,5.9
278,2024-12-12,2024-12-12,1971-03-01,6.0
279,2024-12-12,2024-12-12,1971-04-01,5.9
280,2024-12-12,2024-12-12,1971-05-01,5.9
281,2024-12-12,2024-12-12,1971-06-01,5.9
282,2024-12-12,2024-12-12,1971-07-01,6.0
283,2024-12-12,2024-12-12,1971-08-01,6.1
284,2024-12-12,2024-12-12,1971-09-01,6.0
285,2024-12-12,2024-12-12,1971-10-01,5.8
286,2024-12-12,2024-12-12,1971-11-01,6.0
287,2024-12-12,2024-12-12,1971-12-01,6.0
288,2024-12-12,2024-12-12,1972-01-01,5.8
289,2024-12-12,2024-12-12,1972-02-01,5.7
290,2024-12-12,2024-12-12,1972-03-01,5.8
291,2024-12-12,2024-12-12,1972-04-01,5.7
292,2024-12-12,2024-12-12,1972-05-01,5.7
293,2024-12-12,2024-12-12,1972-06-01,5.7
294,2024-12-12,2024-12-12,1972-07-01,5.6
295,2024-12-12,2024-12-12,1972-08-01,5.6
296,2024-12-12,2024-12-12,1972-09-01,5.5
297,2024-12-12,2024-12-12,1972-10-01,5.6
298,2024-12-12,2024-12-12,1972-11-01,5.3
299,2024-12-12,2024-12-12,1972-12-01,5.2
300,2024-12-12,2024-12-12,1973-01-01,4.9
301,2024-12-12,2024-12-12,1973-02-01,5.0
302,2024-12-12,2024-12-12,1973-03-01,4.9
303,2024-12-12,2024-12-12,1973-04-01,5.0
304,2024-12-12,2024-12-12,1973-05-01,4.9
305,2024-12-12,2024-12-12,1973-06-01,4.9
306,2024-12-12,2024-12-12,1973-07-01,4.8
307,2024-12-12,2024-12-12,1973-08-01,4.8
308,2024-12-12,2024-12-12,1973-09-01,4.8
309,2024-12-12,2024-12-12,1973-10-01,4.6
310,2024-12-12,2024-12-12,1973-11-01,4.8
311,2024-12-12,2024-12-12,1973-12-01,4.9
312,2024-12-12,2024-12-12,1974-01-01,5.1
313,2024-12-12,2024-12-12,1974-02-01,5.2
314,2024-12-12,2024-12-12,1974-03-01,5.1
315,2024-12-12,2024-12-12,1974-04-01,5.1
316,2024-12-12,2024-12-12,1974-05-01,5.1
317,2024-12-12,2024-12-12,1974-06-01,5.4
318,2024-12-12,2024-12-12,1974-07-01,5.5
319,2024-12-12,2024-12-12,1974-08-01,5.5
320,2024-12-12,2024-12-12,1974-09-01,5.9
321,2024-12-12,2024-12-12,1974-10-01,6.0
322,2024-12-12,2024-12-12,1974-11-01,6.6
323,2024-12-12,2024-12-12,1974-12-01,7.2
324,2024-12-12,2024-12-12,1975-01-01,8.1
325,2024-12-12,2024-12-12,1975-02-01,8.1
326,2024-12-12,2024-12-12,1975-03-01,8.6
327,2024-12-12,2024-12-12,1975-04-01,8.8
328,2024-12-12,2024-12-12,1975-05-01,9.0
329,2024-12-12,2024-12-12,1975-06-01,8.8
330,2024-12-12,2024-12-12,1975-07-01,8.6
331,2024-12-12,2024-12-12,1975-08-01,8.4
332,2024-12-12,2024-12-12,1975-09-01,8.4
333,2024-12-12,2024-12-12,1975-10-01,8.4
334,2024-12-12,2024-12-12,1975-11-01,8.3
335,2024-12-12,2024-12-12,1975-12-01,8.2
336,2024-12-12,2024-12-12,1976-01-01,7.9
337,2024-12-12,2024-12-12,1976-02-01,7.7
338,2024-12-12,2024-12-12,1976-03-01,7.6
339,2024-12-12,2024-12-12,1976-04-01,7.7
340,2024-12-12,2024-12-12,1976-05-01,7.4
341,2024-12-12,2024-12-12,1976-06-01,7.6
342,2024-12-12,2024-12-12,1976-07-01,7.8
343,2024-12-12,2024-12-12,1976-08-01,7.8
344,2024-12-12,2024-12-12,1976-09-01,7.6
345,2024-12-12,2024-12-12,1976-10-01,7.7
346,2024-12-12,2024-12-12,1976-11-01,7.8
347,2024-12-12,2024-12-12,1976-12-01,7.8
348,2024-12-12,2024-12-12,1977-01-01,7.5
349,2024-12-12,2024-12-12,1977-02-01,7.6
350,2024-12-12,2024-12-12,1977-03-01,7.4
351,2024-12-12,2024-12-12,1977-04-01,7.2
352,2024-12-12,2024-12-12,1977-05-01,7.0
353,2024-12-12,2024-12-12,1977-06-01,7.2
354,2024-12-12,2024-12-12,1977-07-01,6.9
355,2024-12-12,2024-12-12,1977-08-01,7.0
356,2024-12-12,2024-12-12,1977-09-01,6.8
357,2024-12-12,2024-12-12,1977-10-01,6.8
358,2024-12-12,2024-12-12,1977-11-01,6.8
359,2024-12-12,2024-12-12,1977-12-01,6.4
360,2024-12-12,2024-12-12,1978-01-01,6.4
361,2024-12-12,2024-12-12,1978-02-01,6.3
362,2024-12-12,2024-12-12,1978-03-01,6.3
363,2024-12-12,2024-12-12,1978-04-01,6.1
364,2024-12-12,2024-12-12,1978-05-01,6.0
365,2024-12-12,2024-12-12,1978-06-01,5.9
366,2024-12-12,2024-12-12,1978-07-01,6.2
367,2024-12-12,2024-12-12,1978-08-01,5.9
368,2024-12-12,2024-12-12,1978-09-01,6.0
369,2024-12-12,2024-12-12,1978-10-01,5.8
370,2024-12-12,2024-12-12,1978-11-01,5.9
371,2024-12-12,2024-12-12,1978-12-01,6.0
372,2024-12-12,2024-12-12,1979-01-01,5.9
373,2024-12-12,2024-12-12,1979-02-01,5.9
374,2024-12-12,2024-12-12,1979-03-01,5.8
375,2024-12-12,2024-12-12,1979-04-01,5.8
376,2024-12-12,2024-12-12,1979-05-01,5.6
377,2024-12-12,2024-12-12,1979-06-01,5.7
378,2024-12-12,2024-12-12,1979-07-01,5.7
379,2024-12-12,2024-12-12,1979-08-01,6.0
380,2024-12-12,2024-12-12,1979-09-01,5.9
381,2024-12-12,2024-12-12,1979-10-01,6.0
382,2024-12-12,2024-12-12,1979-11-01,5.9
383,2024-12-12,2024-12-12,1979-12-01,6.0
384,2024-12-12,2024-12-12,1980-01-01,6.3
385,2024-12-12,2024-12-12,1980-02-01,6.3
386,2024-12-12,2024-12-12,1980-03-01,6.3
387,2024-12-12,2024-12-12,1980-04-01,6.9
388,2024-12-12,2024-12-12,1980-05-01,7.5
389,2024-12-12,2024-12-12,1980-06-01,7.6
390,2024-12-12,2024-12-12,1980-07-01,7.8
391,2024-12-12,2024-12-12,1980-08-01,7.7
