,realtime_start,realtime_end,date,value
162,2024-12-19,2024-12-19,1986-07-01,4607.669
163,2024-12-19,2024-12-19,1986-10-01,4657.627
164,2024-12-19,2024-12-19,1987-01-01,4722.156
165,2024-12-19,2024-12-19,1987-04-01,4806.16
166,2024-12-19,2024-12-19,1987-07-01,4884.555
167,2024-12-19,2024-12-19,1987-10-01,5007.994
168,2024-12-19,2024-12-19,1988-01-01,5073.372
169,2024-12-19,2024-12-19,1988-04-01,5190.036
170,2024-12-19,2024-12-19,1988-07-01,5282.835
171,2024-12-19,2024-12-19,1988-10-01,5399.509
172,2024-12-19,2024-12-19,1989-01-01,5511.253
173,2024-12-19,2024-12-19,1989-04-01,5612.463
174,2024-12-19,2024-12-19,1989-07-01,5695.365
175,2024-12-19,2024-12-19,1989-10-01,5747.237
176,2024-12-19,2024-12-19,1990-01-01,5872.701
177,2024-12-19,2024-12-19,1990-04-01,5960.028
178,2024-12-19,2024-12-19,1990-07-01,6015.116
179,2024-12-19,2024-12-19,1990-10-01,6004.733
180,2024-12-19,2024-12-19,1991-01-01,6035.178
181,2024-12-19,2024-12-19,1991-04-01,6126.862
182,2024-12-19,2024-12-19,1991-07-01,6205.937
183,2024-12-19,2024-12-19,1991-10-01,6264.54
184,2024-12-19,2024-12-19,1992-01-01,6363.102
185,2024-12-19,2024-12-19,1992-04-01,6470.763
186,2024-12-19,2024-12-19,1992-07-01,6566.641
187,2024-12-19,2024-12-19,1992-10-01,6680.803
188,2024-12-19,2024-12-19,1993-01-01,6729.459
189,2024-12-19,2024-12-19,1993-04-01,6808.939
190,2024-12-19,2024-12-19,1993-07-01,6882.098
191,2024-12-19,2024-12-19,1993-10-01,7013.738
192,2024-12-19,2024-12-19,1994-01-01,7115.652
193,2024-12-19,2024-12-19,1994-04-01,7246.931
194,2024-12-19,2024-12-19,1994-07-01,7331.075
195,2024-12-19,2024-12-19,1994-10-01,7455.288
196,2024-12-19,2024-12-19,1995-01-01,7522.289
197,2024-12-19,2024-12-19,1995-04-01,7580.997
198,2024-12-19,2024-12-19,1995-07-01,7683.125
199,2024-12-19,2024-12-19,1995-10-01,7772.586
200,2024-12-19,2024-12-19,1996-01-01,7868.468
201,2024-12-19,2024-12-19,1996-04-01,8032.84
202,2024-12-19,2024-12-19,1996-07-01,8131.408
203,2024-12-19,2024-12-19,1996-10-01,8259.771
204,2024-12-19,2024-12-19,1997-01-01,8362.655
205,2024-12-19,2024-12-19,1997-04-01,8518.825
206,2024-12-19,2024-12-19,1997-07-01,8662.823
207,2024-12-19,2024-12-19,1997-10-01,8765.907
208,2024-12-19,2024-12-19,1998-01-01,8866.48
209,2024-12-19,2024-12-19,1998-04-01,8969.699
210,2024-12-19,2024-12-19,1998-07-01,9121.097
211,2024-12-19,2024-12-19,1998-10-01,9293.991
212,2024-12-19,2024-12-19,1999-01-01,9411.682
213,2024-12-19,2024-12-19,1999-04-01,9526.21
214,2024-12-19,2024-12-19,1999-07-01,9686.626
215,2024-12-19,2024-12-19,1999-10-01,9900.169
216,2024-12-19,2024-12-19,2000-01-01,10002.179
217,2024-12-19,2024-12-19,2000-04-01,10247.72
218,2024-12-19,2024-12-19,2000-07-01,10318.165
219,2024-12-19,2024-12-19,2000-10-01,10435.744
220,2024-12-19,2024-12-19,2001-01-01,10470.231
221,2024-12-19,2024-12-19,2001-04-01,10599.0
222,2024-12-19,2024-12-19,2001-07-01,10598.02
223,2024-12-19,2024-12-19,2001-10-01,10660.465
224,2024-12-19,2024-12-19,2002-01-01,10783.5
225,2024-12-19,2024-12-19,2002-04-01,10887.46
226,2024-12-19,2024-12-19,2002-07-01,10984.04
227,2024-12-19,2024-12-19,2002-10-01,11061.433
228,2024-12-19,2024-12-19,2003-01-01,11174.129
229,2024-12-19,2024-12-19,2003-04-01,11312.766
230,2024-12-19,2024-12-19,2003-07-01,11566.669
231,2024-12-19,2024-12-19,2003-10-01,11772.234
232,2024-12-19,2024-12-19,2004-01-01,11923.447
233,2024-12-19,2024-12-19,2004-04-01,12112.815
234,2024-12-19,2024-12-19,2004-07-01,12305.307
235,2024-12-19,2024-12-19,2004-10-01,12527.214
236,2024-12-19,2024-12-19,2005-01-01,12767.286
237,2024-12-19,2024-12-19,2005-04-01,12922.656
238,2024-12-19,2024-12-19,2005-07-01,13142.642
