,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
57,227.78,229.5,227.17,229.04,27959432.0,229.5,227.17,229.04,227.78,28183544.0,1.0,0.0,AAPL,XNAS,2024-10-10T00:00:00+0000
58,225.17,229.75,224.83,229.54,32108383.0,229.75,224.83,229.54,225.23,33591091.0,1.0,0.0,AAPL,XNAS,2024-10-09T00:00:00+0000
59,224.31,225.975,223.25,225.77,31112547.0,225.98,223.25,225.77,224.3,31855693.0,1.0,0.0,AAPL,XNAS,2024-10-08T00:00:00+0000
60,224.46,225.69,221.335,221.69,38944409.0,225.69,221.33,221.69,224.5,39505354.0,1.0,0.0,AAPL,XNAS,2024-10-07T00:00:00+0000
61,227.9,228.0,224.13,226.8,37245100.0,228.0,224.13,226.8,227.9,37345098.0,1.0,0.0,AAPL,XNAS,2024-10-04T00:00:00+0000
62,225.14,226.81,223.32,225.67,33919900.0,226.805,223.32,225.67,225.14,34044158.0,1.0,0.0,AAPL,XNAS,2024-10-03T00:00:00+0000
63,225.89,227.37,223.02,226.78,32828700.0,227.37,223.02,226.78,225.89,32880605.0,1.0,0.0,AAPL,XNAS,2024-10-02T00:00:00+0000
64,229.52,229.65,223.74,226.21,62940000.0,229.65,223.74,226.21,229.52,63285048.0,1.0,0.0,AAPL,XNAS,2024-10-01T00:00:00+0000
65,230.155,233.0,229.655,233.0,52779736.0,233.0,229.65,233.0,230.04,54793391.0,1.0,0.0,AAPL,XNAS,2024-09-30T00:00:00+0000
66,228.46,229.52,227.3,227.79,33993600.0,229.52,227.3,227.79,228.46,34025967.0,1.0,0.0,AAPL,XNAS,2024-09-27T00:00:00+0000
67,227.3,228.5,225.41,227.52,36490267.0,228.5,225.41,227.52,227.3,36636707.0,1.0,0.0,AAPL,XNAS,2024-09-26T00:00:00+0000
68,224.93,227.29,224.03,226.37,40779133.0,227.29,224.02,226.37,224.93,42308715.0,1.0,0.0,AAPL,XNAS,2024-09-25T00:00:00+0000
69,228.645,229.35,225.74,227.37,41781114.0,229.35,225.73,227.37,228.645,43556068.0,1.0,0.0,AAPL,XNAS,2024-09-24T00:00:00+0000
70,227.34,229.45,225.81,226.47,48904893.0,229.45,225.81,226.47,227.34,54146023.0,1.0,0.0,AAPL,XNAS,2024-09-23T00:00:00+0000
71,229.97,233.09,227.62,228.2,318582200.0,233.09,227.62,228.2,229.97,318679888.0,1.0,0.0,AAPL,XNAS,2024-09-20T00:00:00+0000
72,224.99,229.82,224.63,228.87,66723100.0,229.82,224.63,228.87,224.99,66781315.0,1.0,0.0,AAPL,XNAS,2024-09-19T00:00:00+0000
73,217.55,222.71,217.54,220.69,59788400.0,222.71,217.54,220.69,217.55,59894928.0,1.0,0.0,AAPL,XNAS,2024-09-18T00:00:00+0000
74,215.75,216.9,214.5,216.79,45480900.0,216.9,214.5,216.79,215.75,45519339.0,1.0,0.0,AAPL,XNAS,2024-09-17T00:00:00+0000
75,216.74,217.2,213.92,216.32,59138791.0,217.22,213.92,216.32,216.54,59357427.0,1.0,0.0,AAPL,XNAS,2024-09-16T00:00:00+0000
76,223.58,224.04,221.91,222.5,36722900.0,224.04,221.91,222.5,223.58,36766619.0,1.0,0.0,AAPL,XNAS,2024-09-13T00:00:00+0000
77,222.3,223.54,219.82,222.77,37376315.0,223.55,219.82,222.77,222.5,37498225.0,1.0,0.0,AAPL,XNAS,2024-09-12T00:00:00+0000
78,221.425,223.09,217.89,222.66,43842596.0,223.09,217.89,222.66,221.455,44587072.0,1.0,0.0,AAPL,XNAS,2024-09-11T00:00:00+0000
79,218.885,221.48,216.73,220.11,51215441.0,221.48,216.73,220.11,218.92,51591033.0,1.0,0.0,AAPL,XNAS,2024-09-10T00:00:00+0000
80,220.9,221.27,216.72,220.91,66246080.0,221.27,216.71,220.91,220.82,67179965.0,1.0,0.0,AAPL,XNAS,2024-09-09T00:00:00+0000
81,223.95,225.24,219.77,220.82,48388600.0,225.24,219.77,220.82,223.95,48423011.0,1.0,0.0,AAPL,XNAS,2024-09-06T00:00:00+0000
82,221.52,225.48,221.52,222.38,35741943.0,225.48,221.52,222.38,221.625,36615398.0,1.0,0.0,AAPL,XNAS,2024-09-05T00:00:00+0000
